id,name,neighbourhood_group,neighbourhood,latitude_x,longitude_x,room_type,price_x,minimum_nights_x,minimum_nights_y,price_y,geometry
50700543,"Beautiful, spacious 2 bedroom — Prime Williamsburg",Brooklyn,Williamsburg,40.71115,-73.95462,Entire home/apt,222,3,30,,POINT (-73.95462 40.71115)
50919846,Beautiful alcove studio apartment in Williamsburg,Brooklyn,Williamsburg,40.71092,-73.96467,Entire home/apt,150,3,45,,POINT (-73.96467 40.71092)
50921324,Cozy room in Williamsburg,Brooklyn,Williamsburg,40.70958,-73.95582,Private room,80,2,30,94.0,POINT (-73.95582 40.70958)
50866798,Chic artist's loft in best Williamsburg location,Brooklyn,Williamsburg,40.71647,-73.95818,Entire home/apt,200,30,30,300.0,POINT (-73.95818 40.71647)
50940330,1 Bedroom + Home Office + Huge Terrace.,Brooklyn,Greenpoint,40.71959,-73.95295,Entire home/apt,390,4,30,,POINT (-73.95295 40.71959)
50973336,"Dream W’burg Retreat in Massive, Sunny 2BR!",Brooklyn,Williamsburg,40.71831,-73.95713,Entire home/apt,493,7,30,500.0,POINT (-73.95713 40.71831)
51022299,Oasis with Balcony in The Heart Of Williamsburg,Brooklyn,Williamsburg,40.71334,-73.95915,Entire home/apt,230,3,4,350.0,POINT (-73.95915 40.71334)
50992996,Entire Garden Apartment in Williamsburg,Brooklyn,Williamsburg,40.71318,-73.94326,Entire home/apt,221,3,3,271.0,POINT (-73.94326 40.71318)
51251317,Entire Loft- Perfect Airy 3 bed Williamsburg PH,Brooklyn,Williamsburg,40.71652,-73.94204,Entire home/apt,800,2,30,900.0,POINT (-73.94204 40.71652)
51165082,Domino Park Oasis 2,Brooklyn,Williamsburg,40.7116,-73.96737,Private room,89,30,30,129.0,POINT (-73.96737 40.7116)
51068377,1 bedroom apartment located in east Williamsburg,Brooklyn,Williamsburg,40.71869,-73.9453,Entire home/apt,111,5,30,,POINT (-73.9453 40.71869)
51169564,Prime Williamsburg - Gorgeous Contemporary Room,Brooklyn,Williamsburg,40.71175,-73.96315,Private room,99,28,30,100.0,POINT (-73.96315 40.71175)
51170954,Bright Cozy East Williamsburg 2 Bedroom Fast Wi-Fi,Brooklyn,Williamsburg,40.71205,-73.9399,Entire home/apt,215,1,30,,POINT (-73.9399 40.71205)
51271065,Sunny Williamsburg Bedroom w/ Private Bath,Brooklyn,Williamsburg,40.71756,-73.94224,Private room,94,2,30,,POINT (-73.94224 40.71756)
51279306,Private Bedroom in Charming Williamsburg Home,Brooklyn,Williamsburg,40.70835,-73.95108,Private room,100,5,30,136.0,POINT (-73.95108 40.70835)
51580102,LUXURY 2 BED! NEW BLDING! Gym/Roof! Close Trains!,Brooklyn,Williamsburg,40.71157,-73.94902,Entire home/apt,395,4,30,375.0,POINT (-73.94902 40.71157)
51685545,Sunlit Room in the Heart of Williamsburg,Brooklyn,Williamsburg,40.710363554234455,-73.96104842804453,Private room,89,1,1,128.0,POINT (-73.96104842804453 40.710363554234455)
51689558,"Spacious Plant-filled 2 Bed, 2 Bath with Balcony",Brooklyn,Williamsburg,40.7153,-73.94085,Entire home/apt,210,3,30,,POINT (-73.94085 40.7153)
51745454,"Drenched in Sun, Cozy, Pet-friendly 1BR",Brooklyn,Williamsburg,40.70868,-73.96413,Entire home/apt,429,30,30,400.0,POINT (-73.96413 40.70868)
51702923,Award-winning Townhouse in Williamsburg,Brooklyn,Williamsburg,40.71831,-73.96143,Entire home/apt,1100,30,30,975.0,POINT (-73.96143 40.71831)
51764135,Lovely 1-bedroom with private patio - Williamsburg,Brooklyn,Williamsburg,40.70752,-73.95421,Entire home/apt,350,3,30,300.0,POINT (-73.95421 40.70752)
51927795,Modern waterfront apartment,Brooklyn,Williamsburg,40.71066,-73.96756,Entire home/apt,399,1,30,399.0,POINT (-73.96756 40.71066)
52084036,1 Bedroom Apartment in Heart of Williamsburg,Brooklyn,Williamsburg,40.71868,-73.95757,Entire home/apt,100,2,30,,POINT (-73.95757 40.71868)
52266283,Vibrantly Victorian Room in Williamsburg,Brooklyn,Williamsburg,40.71041,-73.95978,Private room,92,1,1,108.0,POINT (-73.95978 40.71041)
52382837,Cute Room In Williamsburg Townhouse w/ en suite,Brooklyn,Williamsburg,40.71306,-73.95076,Private room,179,1,1,210.0,POINT (-73.95076 40.71306)
52407038,Cozy & Daintily Adorned Room in Williamsburg,Brooklyn,Williamsburg,40.71056747263384,-73.95930726016367,Private room,81,1,1,119.0,POINT (-73.95930726016367 40.71056747263384)
